report_id,owner_id,plant_id,plant_name,period,start_at,end_at,reading_timestamp,power_kw,battery_percentage,grid_export_kw
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:50.337781+05:30,36.86,77.44,0.0
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:50.588554+05:30,63.15,85.94,13.15
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:50.822471+05:30,85.95,58.43,35.95
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:51.052451+05:30,60.31,99.11,10.31
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:51.285069+05:30,93.86,76.87,43.86
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:09:51.514761+05:30,87.19,95.39,37.19
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:10:00.123121+05:30,66.15,75.56,16.15
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:11:00.122042+05:30,62.83,94.53,12.83
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:12:00.120673+05:30,52.47,53.55,2.47
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:13:00.123265+05:30,77.63,48.07,27.63
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:14:00.118458+05:30,38.59,99.81,0.0
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:15:00.122730+05:30,70.93,61.92,20.93
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:16:00.119418+05:30,87.07,36.2,37.07
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:17:00.118185+05:30,39.71,62.91,0.0
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:18:00.115470+05:30,38.98,92.71,0.0
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:19:00.106281+05:30,50.32,60.28,0.32
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:20:00.105397+05:30,51.46,30.0,1.46
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:21:00.105276+05:30,90.69,71.23,40.69
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:22:00.107038+05:30,87.1,24.35,37.1
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:23:00.107086+05:30,97.59,41.38,47.59
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:24:00.106010+05:30,83.7,71.34,33.7
5,1,1,PLANT 1,WEEKLY,2026-03-09T00:00:00+05:30,2026-03-16T00:00:00+05:30,2026-03-13T11:25:06.588821+05:30,59.48,73.63,9.48
